"compiler","mode","order","structure","n","median_ns","min_ns","max_ns","sessions"
"gcc","tput","blocked","fusion16_w",2048,49.8886,48.4344,50.2487,3
"clang","lat","shuffled","fusion16_w",2048,59.2606,59.2514,59.3002,3
"gcc","lat","shuffled","fusion16_w",2048,59.1431,59.14,59.3124,3
"clang","tput","shuffled","fusion16_w",2048,48.1293,47.995,48.3154,3
"gcc","tput","shuffled","fusion16_w",2048,48.8388,48.1644,49.2279,3
"gcc","lat","blocked","fusion8",2048,54.8599,53.9978,56.2363,3
"gcc","tput","blocked","fusion8",2048,51.2817,51.2268,51.326,3
"clang","lat","shuffled","fusion8",2048,57.7698,57.4219,58.0688,3
"gcc","lat","shuffled","fusion8",2048,56.2561,55.9113,57.1457,3
"clang","tput","shuffled","fusion8",2048,54.8813,54.7882,55.1147,3
"gcc","tput","shuffled","fusion8",2048,52.3117,51.8997,53.2074,3
"gcc","lat","blocked","fusion8_bf",2048,60.379,59.4635,60.3989,3
"gcc","tput","blocked","fusion8_bf",2048,53.7476,53.5797,54.0421,3
"clang","lat","shuffled","fusion8_bf",2048,60.1135,59.964,60.4004,3
"gcc","lat","shuffled","fusion8_bf",2048,61.4685,60.643,62.0346,3
"clang","tput","shuffled","fusion8_bf",2048,55.4764,55.4565,55.5298,3
"gcc","tput","shuffled","fusion8_bf",2048,55.9174,55.6534,56.0822,3
"gcc","lat","blocked","fusion8_c",2048,58.7616,58.0154,59.1431,3
"gcc","tput","blocked","fusion8_c",2048,54.6829,54.6249,54.7562,3
"clang","lat","shuffled","fusion8_c",2048,57.5623,57.4524,57.7225,3
"gcc","lat","shuffled","fusion8_c",2048,58.7967,58.078,58.8776,3
"clang","tput","shuffled","fusion8_c",2048,52.7451,52.6825,52.9114,3
"gcc","tput","shuffled","fusion8_c",2048,53.3447,53.2104,53.5629,3
"gcc","lat","blocked","sorted_array",2048,17.2684,16.9357,17.2943,3
"gcc","tput","blocked","sorted_array",2048,6.4194,6.4102,6.4255,3
"clang","lat","shuffled","sorted_array",2048,38.4933,38.2614,39.18,3
"gcc","lat","shuffled","sorted_array",2048,17.2638,17.009,17.3172,3
"clang","tput","shuffled","sorted_array",2048,39.1296,39.0961,39.4943,3
