"compiler","mode","order","comparison","n","ratio","lo","hi"
"gcc","lat","shuffled","original fusion vs binary search",4096,3.06618240085459,3.0520004273276,3.08138657822238
"clang","tput","shuffled","original fusion vs binary search",4096,1.28526249065139,1.27929594394557,1.29002702324931
"gcc","tput","shuffled","original fusion vs binary search",4096,7.40287618083671,7.31967314597004,7.43400107685723
"gcc","lat","blocked","original fusion vs branch-free B-tree",4096,1.58409603077678,1.5761167744776,1.59223410559585
"gcc","tput","blocked","original fusion vs branch-free B-tree",4096,2.2548329259769,2.24059172524184,2.28673379433771
"clang","lat","shuffled","original fusion vs branch-free B-tree",4096,1.53463441940942,1.52712032966605,1.53529925831938
"gcc","lat","shuffled","original fusion vs branch-free B-tree",4096,1.6088076294675,1.60096444823026,1.61276675570189
"clang","tput","shuffled","original fusion vs branch-free B-tree",4096,2.94421055930468,2.92333632156111,2.94498335407426
"gcc","tput","shuffled","original fusion vs branch-free B-tree",4096,2.30741019866273,2.28482050841635,2.3156982569916
"gcc","lat","blocked","branch-free rank vs original rank",8192,1.11935676053941,1.10926228221629,1.12375044619839
"gcc","tput","blocked","branch-free rank vs original rank",8192,1.12932540228304,1.12803010654433,1.13823333786038
"clang","lat","shuffled","branch-free rank vs original rank",8192,1.06720944964595,1.06602562205982,1.06746935987127
