"compiler","mode","order","comparison","n","ratio","lo","hi"
"gcc","lat","blocked","original fusion vs binary search",512,2.78353862109136,2.77009209096912,2.79538752573304
"gcc","tput","blocked","original fusion vs binary search",512,6.81671571987259,6.75760610491317,6.94542253521127
"clang","lat","shuffled","original fusion vs binary search",512,1.45851873578184,1.45452310113354,1.46831757835108
"gcc","lat","shuffled","original fusion vs binary search",512,2.7854204785612,2.7726550643235,2.82109430995011
"clang","tput","shuffled","original fusion vs binary search",512,1.29221335655887,1.29119047454033,1.30047973016064
"gcc","tput","shuffled","original fusion vs binary search",512,6.91684267696578,6.89150962349821,7.00780988068238
"gcc","lat","blocked","original fusion vs branch-free B-tree",512,1.834881673706,1.82186119490805,1.84486723429647
"gcc","tput","blocked","original fusion vs branch-free B-tree",512,3.94114219114219,3.85611584794386,4.1943017560626
"clang","lat","shuffled","original fusion vs branch-free B-tree",512,1.79686598010832,1.78309735427863,1.80879747655879
"gcc","lat","shuffled","original fusion vs branch-free B-tree",512,1.83582075599576,1.81574608600343,1.863444567016
"clang","tput","shuffled","original fusion vs branch-free B-tree",512,3.82311890675777,3.70868736959874,3.90639841481186
"gcc","tput","shuffled","original fusion vs branch-free B-tree",512,3.91574236454324,3.79600057545677,4.03519271389312
"gcc","lat","blocked","branch-free rank vs original rank",1024,1.15249678047013,1.13948826738246,1.15285228271811
"gcc","tput","blocked","branch-free rank vs original rank",1024,1.14462312631292,1.11136150318877,1.15587318421009
"clang","lat","shuffled","branch-free rank vs original rank",1024,1.07867917742568,1.07479963489916,1.08105038140639
"gcc","lat","shuffled","branch-free rank vs original rank",1024,1.1402467267148,1.12064007662596,1.15449002942828
"clang","tput","shuffled","branch-free rank vs original rank",1024,1.0923740506948,1.08283894655826,1.09778627204718
"gcc","tput","shuffled","branch-free rank vs original rank",1024,1.17440610814366,1.15760105098331,1.17454957815896
"gcc","lat","blocked","compact 128-B node vs 184-B node",1024,0.980752206505344,0.976639196213158,0.981055958972999
"gcc","tput","blocked","compact 128-B node vs 184-B node",1024,1.02887889092551,0.992088738843359,1.03087937692996
"clang","lat","shuffled","compact 128-B node vs 184-B node",1024,0.962175742191647,0.952983376258488,0.964779056150883
"gcc","lat","shuffled","compact 128-B node vs 184-B node",1024,0.965245349876776,0.9505024,0.969776641465051
