"compiler","mode","order","structure","n","median_ns","min_ns","max_ns","sessions"
"clang","lat","shuffled","btree8_bl_a64",256,27.6535,27.4429,27.9816,3
"gcc","lat","shuffled","btree8_bl_a64",256,25.1785,24.7116,25.2182,3
"clang","tput","shuffled","btree8_bl_a64",256,16.7603,15.9592,17.07,3
"gcc","tput","shuffled","btree8_bl_a64",256,16.4841,16.008,16.5939,3
"gcc","lat","blocked","fusion16_w",256,38.2034,37.6678,38.6566,3
"gcc","tput","blocked","fusion16_w",256,27.3438,26.2604,27.4353,3
"clang","lat","shuffled","fusion16_w",256,37.5137,37.1826,37.7441,3
"gcc","lat","shuffled","fusion16_w",256,38.3163,37.8418,38.3743,3
"clang","tput","shuffled","fusion16_w",256,26.8143,26.2756,26.9012,3
"gcc","tput","shuffled","fusion16_w",256,27.9053,26.7426,28.2059,3
"gcc","lat","blocked","fusion8",256,38.7558,38.6368,38.8779,3
"gcc","tput","blocked","fusion8",256,34.317,33.1451,34.6069,3
"clang","lat","shuffled","fusion8",256,40.6448,40.2115,40.889,3
"gcc","lat","shuffled","fusion8",256,39.2563,39.2105,39.6744,3
"clang","tput","shuffled","fusion8",256,37.2086,36.8683,37.2131,3
"gcc","tput","shuffled","fusion8",256,34.9472,34.1339,35.7498,3
"gcc","lat","blocked","fusion8_bf",256,42.3187,41.7053,42.5278,3
"gcc","tput","blocked","fusion8_bf",256,36.673,35.6583,37.178,3
"clang","lat","shuffled","fusion8_bf",256,42.4881,42.276,43.576,3
"gcc","lat","shuffled","fusion8_bf",256,42.5858,42.0776,42.7383,3
"clang","tput","shuffled","fusion8_bf",256,38.089,37.2711,38.7924,3
"gcc","tput","shuffled","fusion8_bf",256,37.7243,36.2579,37.7945,3
"gcc","lat","blocked","fusion8_c",256,41.3422,41.188,41.7847,3
"gcc","tput","blocked","fusion8_c",256,35.5774,35.3058,36.5707,3
"clang","lat","shuffled","fusion8_c",256,40.979,40.9698,41.8976,3
"gcc","lat","shuffled","fusion8_c",256,41.4688,41.0461,41.9281,3
"clang","tput","shuffled","fusion8_c",256,36.4899,35.7285,37.0483,3
"gcc","tput","shuffled","fusion8_c",256,36.525,35.4568,36.7203,3
"gcc","lat","blocked","sorted_array",256,12.9578,12.944,13.0142,3
"gcc","tput","blocked","sorted_array",256,4.4968,4.3625,4.5135,3
"clang","lat","shuffled","sorted_array",256,23.2925,23.1339,24.2523,3
"gcc","lat","shuffled","sorted_array",256,12.9776,12.9486,12.9852,3
"clang","tput","shuffled","sorted_array",256,23.1735,22.9156,23.5779,3
"gcc","tput","shuffled","sorted_array",256,4.4998,4.4464,4.6066,3
"gcc","lat","blocked","btree16_bl_a64",512,25.769,24.9405,25.9491,3
"gcc","tput","blocked","btree16_bl_a64",512,23.0316,22.5357,23.2315,3
"clang","lat","shuffled","btree16_bl_a64",512,30.3406,28.6728,30.6534,3
"gcc","lat","shuffled","btree16_bl_a64",512,25.9674,25.3159,26.236,3
"clang","tput","shuffled","btree16_bl_a64",512,21.6827,21.1685,21.6904,3
"gcc","tput","shuffled","btree16_bl_a64",512,23.2178,23.1812,23.3597,3
"gcc","lat","blocked","btree8",512,22.7875,22.7615,23.5626,3
"gcc","tput","blocked","btree8",512,23.494,23.3505,24.0265,3
"clang","lat","shuffled","btree8",512,24.469,24.1943,24.5605,3
"gcc","lat","shuffled","btree8",512,23.6481,23.4222,23.8617,3
"clang","tput","shuffled","btree8",512,24.5651,24.5316,24.7971,3
"gcc","tput","shuffled","btree8",512,24.086,23.848,24.3622,3
"gcc","lat","blocked","btree8_a64",512,22.6715,22.6013,22.7676,3
"gcc","tput","blocked","btree8_a64",512,22.0673,21.9421,23.085,3
"clang","lat","shuffled","btree8_a64",512,23.2544,22.6746,23.4192,3
"gcc","lat","shuffled","btree8_a64",512,23.1018,23.0194,23.23,3
"clang","tput","shuffled","btree8_a64",512,24.8062,24.5758,25.2808,3
"gcc","tput","shuffled","btree8_a64",512,22.9889,22.9416,23.2712,3
"gcc","lat","blocked","btree8_bl",512,26.6907,26.6312,26.7075,3
"gcc","tput","blocked","btree8_bl",512,15.4877,15.097,15.5853,3
"clang","lat","shuffled","btree8_bl",512,28.8437,28.3112,28.9413,3
